offer_ext,search_query,score
[OFF] spend 50 on a full priced new club membership [BN] sams club,spend,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,50,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,on,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,a,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,full,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,priced,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,new,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,club,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,membership,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,sams,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,club,100
[OFF] spend 50 on a full priced new club membership [BN] sams club,tobacco,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,products,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,mature,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,hair,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,removal,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,bath,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,body,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,bakery,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,carbonated,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,soft,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,drinks,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,body,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,fragrances,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,dips,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,,0
[OFF] spend 50 on a full priced new club membership [BN] sams club,salsa,0
[OFF] beyond meat plant based products spend 25 [BN] beyond meat [CN] plant based meat [CN] frozen plant based meat [CN] packaged meat [PCN] meat  seafood [PCN] pantry,beyond,100
[OFF] beyond meat plant based products spend 25 [BN] beyond meat [CN] plant based meat [CN] frozen plant based meat [CN] packaged meat [PCN] meat  seafood [PCN] pantry,meat,100
[OFF] beyond meat plant based products spend 25 [BN] beyond meat [CN] plant based meat [CN] frozen plant based meat [CN] packaged meat [PCN] meat  seafood [PCN] pantry,plant,100
[OFF] beyond meat plant based products spend 25 [BN] beyond meat [CN] plant based meat [CN] frozen plant based meat [CN] packaged meat [PCN] meat  seafood [PCN] pantry,based,100
